image,scenario,cve,package,version,base,cvss_source,x_exp,x_priv,x_mnt,x_run,S,C,R,severity,rank_R,rank_B
rabbitmq:3.13-management-alpine,A,CVE-2025-15467,libcrypto3,3.5.4-r0,9.8,redhat,0.0,0.0,0.0,0.5,0.125,0.625,6.125,Medium,1,1
rabbitmq:3.13-management-alpine,A,CVE-2026-31789,libcrypto3,3.5.4-r0,9.8,nvd,0.0,0.0,0.0,0.5,0.125,0.625,6.125,Medium,2,2
rabbitmq:3.13-management-alpine,A,CVE-2025-15467,libssl3,3.5.4-r0,9.8,redhat,0.0,0.0,0.0,0.5,0.125,0.625,6.125,Medium,3,3
rabbitmq:3.13-management-alpine,A,CVE-2026-31789,libssl3,3.5.4-r0,9.8,nvd,0.0,0.0,0.0,0.5,0.125,0.625,6.125,Medium,4,4
rabbitmq:3.13-management-alpine,A,CVE-2026-28387,libcrypto3,3.5.4-r0,8.1,nvd,0.0,0.0,0.0,0.5,0.125,0.625,5.0625,Medium,5,5
rabbitmq:3.13-management-alpine,A,CVE-2026-28387,libssl3,3.5.4-r0,8.1,nvd,0.0,0.0,0.0,0.5,0.125,0.625,5.0625,Medium,6,6
rabbitmq:3.13-management-alpine,A,CVE-2026-25210,libexpat,2.7.3-r0,7.8,nvd,0.0,0.0,0.0,0.5,0.125,0.625,4.875,Medium,7,7
rabbitmq:3.13-management-alpine,A,CVE-2026-40200,musl,1.2.5-r10,7.8,redhat,0.0,0.0,0.0,0.5,0.125,0.625,4.875,Medium,8,8
rabbitmq:3.13-management-alpine,A,CVE-2026-40200,musl-utils,1.2.5-r10,7.8,redhat,0.0,0.0,0.0,0.5,0.125,0.625,4.875,Medium,9,9
rabbitmq:3.13-management-alpine,A,CVE-2026-22184,zlib,1.3.1-r2,7.8,nvd,0.0,0.0,0.0,0.5,0.125,0.625,4.875,Medium,10,10
rabbitmq:3.13-management-alpine,A,CVE-2025-69421,libcrypto3,3.5.4-r0,7.5,nvd,0.0,0.0,0.0,0.5,0.125,0.625,4.6875,Medium,11,11
rabbitmq:3.13-management-alpine,A,CVE-2026-28388,libcrypto3,3.5.4-r0,7.5,nvd,0.0,0.0,0.0,0.5,0.125,0.625,4.6875,Medium,12,12
rabbitmq:3.13-management-alpine,A,CVE-2026-28389,libcrypto3,3.5.4-r0,7.5,nvd,0.0,0.0,0.0,0.5,0.125,0.625,4.6875,Medium,13,13
rabbitmq:3.13-management-alpine,A,CVE-2026-28390,libcrypto3,3.5.4-r0,7.5,nvd,0.0,0.0,0.0,0.5,0.125,0.625,4.6875,Medium,14,14
rabbitmq:3.13-management-alpine,A,CVE-2025-69421,libssl3,3.5.4-r0,7.5,nvd,0.0,0.0,0.0,0.5,0.125,0.625,4.6875,Medium,15,15
rabbitmq:3.13-management-alpine,A,CVE-2026-28388,libssl3,3.5.4-r0,7.5,nvd,0.0,0.0,0.0,0.5,0.125,0.625,4.6875,Medium,16,16
rabbitmq:3.13-management-alpine,A,CVE-2026-28389,libssl3,3.5.4-r0,7.5,nvd,0.0,0.0,0.0,0.5,0.125,0.625,4.6875,Medium,17,17
rabbitmq:3.13-management-alpine,A,CVE-2026-28390,libssl3,3.5.4-r0,7.5,nvd,0.0,0.0,0.0,0.5,0.125,0.625,4.6875,Medium,18,18
rabbitmq:3.13-management-alpine,A,CVE-2025-69419,libcrypto3,3.5.4-r0,7.4,redhat,0.0,0.0,0.0,0.5,0.125,0.625,4.625,Medium,19,19
rabbitmq:3.13-management-alpine,A,CVE-2025-69419,libssl3,3.5.4-r0,7.4,redhat,0.0,0.0,0.0,0.5,0.125,0.625,4.625,Medium,20,20
rabbitmq:3.13-management-alpine,B,CVE-2025-15467,libcrypto3,3.5.4-r0,9.8,redhat,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,1,1
rabbitmq:3.13-management-alpine,B,CVE-2026-31789,libcrypto3,3.5.4-r0,9.8,nvd,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,2,2
rabbitmq:3.13-management-alpine,B,CVE-2025-15467,libssl3,3.5.4-r0,9.8,redhat,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,10,3
rabbitmq:3.13-management-alpine,B,CVE-2026-31789,libssl3,3.5.4-r0,9.8,nvd,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,11,4
rabbitmq:3.13-management-alpine,B,CVE-2026-28387,libcrypto3,3.5.4-r0,8.1,nvd,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,5,5
rabbitmq:3.13-management-alpine,B,CVE-2026-28387,libssl3,3.5.4-r0,8.1,nvd,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,14,6
rabbitmq:3.13-management-alpine,B,CVE-2026-25210,libexpat,2.7.3-r0,7.8,nvd,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,9,7
rabbitmq:3.13-management-alpine,B,CVE-2026-40200,musl,1.2.5-r10,7.8,redhat,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,18,8
rabbitmq:3.13-management-alpine,B,CVE-2026-40200,musl-utils,1.2.5-r10,7.8,redhat,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,19,9
rabbitmq:3.13-management-alpine,B,CVE-2026-22184,zlib,1.3.1-r2,7.8,nvd,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,20,10
rabbitmq:3.13-management-alpine,B,CVE-2025-69421,libcrypto3,3.5.4-r0,7.5,nvd,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,4,11
rabbitmq:3.13-management-alpine,B,CVE-2026-28388,libcrypto3,3.5.4-r0,7.5,nvd,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,6,12
rabbitmq:3.13-management-alpine,B,CVE-2026-28389,libcrypto3,3.5.4-r0,7.5,nvd,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,7,13
rabbitmq:3.13-management-alpine,B,CVE-2026-28390,libcrypto3,3.5.4-r0,7.5,nvd,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,8,14
rabbitmq:3.13-management-alpine,B,CVE-2025-69421,libssl3,3.5.4-r0,7.5,nvd,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,13,15
rabbitmq:3.13-management-alpine,B,CVE-2026-28388,libssl3,3.5.4-r0,7.5,nvd,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,15,16
rabbitmq:3.13-management-alpine,B,CVE-2026-28389,libssl3,3.5.4-r0,7.5,nvd,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,16,17
rabbitmq:3.13-management-alpine,B,CVE-2026-28390,libssl3,3.5.4-r0,7.5,nvd,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,17,18
rabbitmq:3.13-management-alpine,B,CVE-2025-69419,libcrypto3,3.5.4-r0,7.4,redhat,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,3,19
rabbitmq:3.13-management-alpine,B,CVE-2025-69419,libssl3,3.5.4-r0,7.4,redhat,1.0,1.0,1.0,0.5,0.875,1.375,10.0,Critical,12,20
rabbitmq:3.13-management-alpine,C,CVE-2025-15467,libcrypto3,3.5.4-r0,9.8,redhat,1.0,0.25,0.0,0.5,0.575,1.075,10.0,Critical,1,1
rabbitmq:3.13-management-alpine,C,CVE-2026-31789,libcrypto3,3.5.4-r0,9.8,nvd,1.0,0.25,0.0,0.5,0.575,1.075,10.0,Critical,2,2
rabbitmq:3.13-management-alpine,C,CVE-2025-15467,libssl3,3.5.4-r0,9.8,redhat,1.0,0.25,0.0,0.5,0.575,1.075,10.0,Critical,3,3
rabbitmq:3.13-management-alpine,C,CVE-2026-31789,libssl3,3.5.4-r0,9.8,nvd,1.0,0.25,0.0,0.5,0.575,1.075,10.0,Critical,4,4
rabbitmq:3.13-management-alpine,C,CVE-2026-28387,libcrypto3,3.5.4-r0,8.1,nvd,1.0,0.25,0.0,0.5,0.575,1.075,8.7075,High,5,5
rabbitmq:3.13-management-alpine,C,CVE-2026-28387,libssl3,3.5.4-r0,8.1,nvd,1.0,0.25,0.0,0.5,0.575,1.075,8.7075,High,6,6
rabbitmq:3.13-management-alpine,C,CVE-2026-25210,libexpat,2.7.3-r0,7.8,nvd,1.0,0.25,0.0,0.5,0.575,1.075,8.385,High,7,7
rabbitmq:3.13-management-alpine,C,CVE-2026-40200,musl,1.2.5-r10,7.8,redhat,1.0,0.25,0.0,0.5,0.575,1.075,8.385,High,8,8
rabbitmq:3.13-management-alpine,C,CVE-2026-40200,musl-utils,1.2.5-r10,7.8,redhat,1.0,0.25,0.0,0.5,0.575,1.075,8.385,High,9,9
rabbitmq:3.13-management-alpine,C,CVE-2026-22184,zlib,1.3.1-r2,7.8,nvd,1.0,0.25,0.0,0.5,0.575,1.075,8.385,High,10,10
rabbitmq:3.13-management-alpine,C,CVE-2025-69421,libcrypto3,3.5.4-r0,7.5,nvd,1.0,0.25,0.0,0.5,0.575,1.075,8.0625,High,11,11
rabbitmq:3.13-management-alpine,C,CVE-2026-28388,libcrypto3,3.5.4-r0,7.5,nvd,1.0,0.25,0.0,0.5,0.575,1.075,8.0625,High,12,12
rabbitmq:3.13-management-alpine,C,CVE-2026-28389,libcrypto3,3.5.4-r0,7.5,nvd,1.0,0.25,0.0,0.5,0.575,1.075,8.0625,High,13,13
rabbitmq:3.13-management-alpine,C,CVE-2026-28390,libcrypto3,3.5.4-r0,7.5,nvd,1.0,0.25,0.0,0.5,0.575,1.075,8.0625,High,14,14
rabbitmq:3.13-management-alpine,C,CVE-2025-69421,libssl3,3.5.4-r0,7.5,nvd,1.0,0.25,0.0,0.5,0.575,1.075,8.0625,High,15,15
rabbitmq:3.13-management-alpine,C,CVE-2026-28388,libssl3,3.5.4-r0,7.5,nvd,1.0,0.25,0.0,0.5,0.575,1.075,8.0625,High,16,16
rabbitmq:3.13-management-alpine,C,CVE-2026-28389,libssl3,3.5.4-r0,7.5,nvd,1.0,0.25,0.0,0.5,0.575,1.075,8.0625,High,17,17
rabbitmq:3.13-management-alpine,C,CVE-2026-28390,libssl3,3.5.4-r0,7.5,nvd,1.0,0.25,0.0,0.5,0.575,1.075,8.0625,High,18,18
rabbitmq:3.13-management-alpine,C,CVE-2025-69419,libcrypto3,3.5.4-r0,7.4,redhat,1.0,0.25,0.0,0.5,0.575,1.075,7.955,High,19,19
rabbitmq:3.13-management-alpine,C,CVE-2025-69419,libssl3,3.5.4-r0,7.4,redhat,1.0,0.25,0.0,0.5,0.575,1.075,7.955,High,20,20
rabbitmq:3.13-management-alpine,D,CVE-2025-15467,libcrypto3,3.5.4-r0,9.8,redhat,0.25,0.5,0.25,0.5,0.3625,0.8625,8.4525,High,1,1
rabbitmq:3.13-management-alpine,D,CVE-2026-31789,libcrypto3,3.5.4-r0,9.8,nvd,0.25,0.5,0.25,0.5,0.3625,0.8625,8.4525,High,2,2
rabbitmq:3.13-management-alpine,D,CVE-2025-15467,libssl3,3.5.4-r0,9.8,redhat,0.25,0.5,0.25,0.5,0.3625,0.8625,8.4525,High,3,3
rabbitmq:3.13-management-alpine,D,CVE-2026-31789,libssl3,3.5.4-r0,9.8,nvd,0.25,0.5,0.25,0.5,0.3625,0.8625,8.4525,High,4,4
rabbitmq:3.13-management-alpine,D,CVE-2026-28387,libcrypto3,3.5.4-r0,8.1,nvd,0.25,0.5,0.25,0.5,0.3625,0.8625,6.9863,Medium,5,5
rabbitmq:3.13-management-alpine,D,CVE-2026-28387,libssl3,3.5.4-r0,8.1,nvd,0.25,0.5,0.25,0.5,0.3625,0.8625,6.9863,Medium,6,6
rabbitmq:3.13-management-alpine,D,CVE-2026-25210,libexpat,2.7.3-r0,7.8,nvd,0.25,0.5,0.25,0.5,0.3625,0.8625,6.7275,Medium,7,7
rabbitmq:3.13-management-alpine,D,CVE-2026-40200,musl,1.2.5-r10,7.8,redhat,0.25,0.5,0.25,0.5,0.3625,0.8625,6.7275,Medium,8,8
rabbitmq:3.13-management-alpine,D,CVE-2026-40200,musl-utils,1.2.5-r10,7.8,redhat,0.25,0.5,0.25,0.5,0.3625,0.8625,6.7275,Medium,9,9
rabbitmq:3.13-management-alpine,D,CVE-2026-22184,zlib,1.3.1-r2,7.8,nvd,0.25,0.5,0.25,0.5,0.3625,0.8625,6.7275,Medium,10,10
rabbitmq:3.13-management-alpine,D,CVE-2025-69421,libcrypto3,3.5.4-r0,7.5,nvd,0.25,0.5,0.25,0.5,0.3625,0.8625,6.4688,Medium,11,11
rabbitmq:3.13-management-alpine,D,CVE-2026-28388,libcrypto3,3.5.4-r0,7.5,nvd,0.25,0.5,0.25,0.5,0.3625,0.8625,6.4688,Medium,12,12
rabbitmq:3.13-management-alpine,D,CVE-2026-28389,libcrypto3,3.5.4-r0,7.5,nvd,0.25,0.5,0.25,0.5,0.3625,0.8625,6.4688,Medium,13,13
rabbitmq:3.13-management-alpine,D,CVE-2026-28390,libcrypto3,3.5.4-r0,7.5,nvd,0.25,0.5,0.25,0.5,0.3625,0.8625,6.4688,Medium,14,14
rabbitmq:3.13-management-alpine,D,CVE-2025-69421,libssl3,3.5.4-r0,7.5,nvd,0.25,0.5,0.25,0.5,0.3625,0.8625,6.4688,Medium,15,15
rabbitmq:3.13-management-alpine,D,CVE-2026-28388,libssl3,3.5.4-r0,7.5,nvd,0.25,0.5,0.25,0.5,0.3625,0.8625,6.4688,Medium,16,16
rabbitmq:3.13-management-alpine,D,CVE-2026-28389,libssl3,3.5.4-r0,7.5,nvd,0.25,0.5,0.25,0.5,0.3625,0.8625,6.4688,Medium,17,17
rabbitmq:3.13-management-alpine,D,CVE-2026-28390,libssl3,3.5.4-r0,7.5,nvd,0.25,0.5,0.25,0.5,0.3625,0.8625,6.4688,Medium,18,18
rabbitmq:3.13-management-alpine,D,CVE-2025-69419,libcrypto3,3.5.4-r0,7.4,redhat,0.25,0.5,0.25,0.5,0.3625,0.8625,6.3825,Medium,19,19
rabbitmq:3.13-management-alpine,D,CVE-2025-69419,libssl3,3.5.4-r0,7.4,redhat,0.25,0.5,0.25,0.5,0.3625,0.8625,6.3825,Medium,20,20
rabbitmq:3.13-management-alpine,E,CVE-2025-15467,libcrypto3,3.5.4-r0,9.8,redhat,1.0,0.0,0.0,0.5,0.525,1.025,10.0,Critical,1,1
rabbitmq:3.13-management-alpine,E,CVE-2026-31789,libcrypto3,3.5.4-r0,9.8,nvd,1.0,0.0,0.0,0.5,0.525,1.025,10.0,Critical,2,2
rabbitmq:3.13-management-alpine,E,CVE-2025-15467,libssl3,3.5.4-r0,9.8,redhat,1.0,0.0,0.0,0.5,0.525,1.025,10.0,Critical,3,3
rabbitmq:3.13-management-alpine,E,CVE-2026-31789,libssl3,3.5.4-r0,9.8,nvd,1.0,0.0,0.0,0.5,0.525,1.025,10.0,Critical,4,4
rabbitmq:3.13-management-alpine,E,CVE-2026-28387,libcrypto3,3.5.4-r0,8.1,nvd,1.0,0.0,0.0,0.5,0.525,1.025,8.3025,High,5,5
rabbitmq:3.13-management-alpine,E,CVE-2026-28387,libssl3,3.5.4-r0,8.1,nvd,1.0,0.0,0.0,0.5,0.525,1.025,8.3025,High,6,6
rabbitmq:3.13-management-alpine,E,CVE-2026-25210,libexpat,2.7.3-r0,7.8,nvd,1.0,0.0,0.0,0.5,0.525,1.025,7.995,High,7,7
rabbitmq:3.13-management-alpine,E,CVE-2026-40200,musl,1.2.5-r10,7.8,redhat,1.0,0.0,0.0,0.5,0.525,1.025,7.995,High,8,8
rabbitmq:3.13-management-alpine,E,CVE-2026-40200,musl-utils,1.2.5-r10,7.8,redhat,1.0,0.0,0.0,0.5,0.525,1.025,7.995,High,9,9
rabbitmq:3.13-management-alpine,E,CVE-2026-22184,zlib,1.3.1-r2,7.8,nvd,1.0,0.0,0.0,0.5,0.525,1.025,7.995,High,10,10
rabbitmq:3.13-management-alpine,E,CVE-2025-69421,libcrypto3,3.5.4-r0,7.5,nvd,1.0,0.0,0.0,0.5,0.525,1.025,7.6875,High,11,11
rabbitmq:3.13-management-alpine,E,CVE-2026-28388,libcrypto3,3.5.4-r0,7.5,nvd,1.0,0.0,0.0,0.5,0.525,1.025,7.6875,High,12,12
rabbitmq:3.13-management-alpine,E,CVE-2026-28389,libcrypto3,3.5.4-r0,7.5,nvd,1.0,0.0,0.0,0.5,0.525,1.025,7.6875,High,13,13
rabbitmq:3.13-management-alpine,E,CVE-2026-28390,libcrypto3,3.5.4-r0,7.5,nvd,1.0,0.0,0.0,0.5,0.525,1.025,7.6875,High,14,14
rabbitmq:3.13-management-alpine,E,CVE-2025-69421,libssl3,3.5.4-r0,7.5,nvd,1.0,0.0,0.0,0.5,0.525,1.025,7.6875,High,15,15
rabbitmq:3.13-management-alpine,E,CVE-2026-28388,libssl3,3.5.4-r0,7.5,nvd,1.0,0.0,0.0,0.5,0.525,1.025,7.6875,High,16,16
rabbitmq:3.13-management-alpine,E,CVE-2026-28389,libssl3,3.5.4-r0,7.5,nvd,1.0,0.0,0.0,0.5,0.525,1.025,7.6875,High,17,17
rabbitmq:3.13-management-alpine,E,CVE-2026-28390,libssl3,3.5.4-r0,7.5,nvd,1.0,0.0,0.0,0.5,0.525,1.025,7.6875,High,18,18
rabbitmq:3.13-management-alpine,E,CVE-2025-69419,libcrypto3,3.5.4-r0,7.4,redhat,1.0,0.0,0.0,0.5,0.525,1.025,7.585,High,19,19
rabbitmq:3.13-management-alpine,E,CVE-2025-69419,libssl3,3.5.4-r0,7.4,redhat,1.0,0.0,0.0,0.5,0.525,1.025,7.585,High,20,20
rabbitmq:3.13-management-alpine,F,CVE-2025-15467,libcrypto3,3.5.4-r0,9.8,redhat,1.0,0.5,0.0,0.5,0.625,1.125,10.0,Critical,1,1
rabbitmq:3.13-management-alpine,F,CVE-2026-31789,libcrypto3,3.5.4-r0,9.8,nvd,1.0,0.5,0.0,0.5,0.625,1.125,10.0,Critical,2,2
rabbitmq:3.13-management-alpine,F,CVE-2025-15467,libssl3,3.5.4-r0,9.8,redhat,1.0,0.5,0.0,0.5,0.625,1.125,10.0,Critical,3,3
rabbitmq:3.13-management-alpine,F,CVE-2026-31789,libssl3,3.5.4-r0,9.8,nvd,1.0,0.5,0.0,0.5,0.625,1.125,10.0,Critical,4,4
rabbitmq:3.13-management-alpine,F,CVE-2026-28387,libcrypto3,3.5.4-r0,8.1,nvd,1.0,0.5,0.0,0.5,0.625,1.125,9.1125,Critical,5,5
rabbitmq:3.13-management-alpine,F,CVE-2026-28387,libssl3,3.5.4-r0,8.1,nvd,1.0,0.5,0.0,0.5,0.625,1.125,9.1125,Critical,6,6
rabbitmq:3.13-management-alpine,F,CVE-2026-25210,libexpat,2.7.3-r0,7.8,nvd,1.0,0.5,0.0,0.5,0.625,1.125,8.775,High,7,7
rabbitmq:3.13-management-alpine,F,CVE-2026-40200,musl,1.2.5-r10,7.8,redhat,1.0,0.5,0.0,0.5,0.625,1.125,8.775,High,8,8
rabbitmq:3.13-management-alpine,F,CVE-2026-40200,musl-utils,1.2.5-r10,7.8,redhat,1.0,0.5,0.0,0.5,0.625,1.125,8.775,High,9,9
rabbitmq:3.13-management-alpine,F,CVE-2026-22184,zlib,1.3.1-r2,7.8,nvd,1.0,0.5,0.0,0.5,0.625,1.125,8.775,High,10,10
rabbitmq:3.13-management-alpine,F,CVE-2025-69421,libcrypto3,3.5.4-r0,7.5,nvd,1.0,0.5,0.0,0.5,0.625,1.125,8.4375,High,11,11
rabbitmq:3.13-management-alpine,F,CVE-2026-28388,libcrypto3,3.5.4-r0,7.5,nvd,1.0,0.5,0.0,0.5,0.625,1.125,8.4375,High,12,12
rabbitmq:3.13-management-alpine,F,CVE-2026-28389,libcrypto3,3.5.4-r0,7.5,nvd,1.0,0.5,0.0,0.5,0.625,1.125,8.4375,High,13,13
rabbitmq:3.13-management-alpine,F,CVE-2026-28390,libcrypto3,3.5.4-r0,7.5,nvd,1.0,0.5,0.0,0.5,0.625,1.125,8.4375,High,14,14
rabbitmq:3.13-management-alpine,F,CVE-2025-69421,libssl3,3.5.4-r0,7.5,nvd,1.0,0.5,0.0,0.5,0.625,1.125,8.4375,High,15,15
rabbitmq:3.13-management-alpine,F,CVE-2026-28388,libssl3,3.5.4-r0,7.5,nvd,1.0,0.5,0.0,0.5,0.625,1.125,8.4375,High,16,16
rabbitmq:3.13-management-alpine,F,CVE-2026-28389,libssl3,3.5.4-r0,7.5,nvd,1.0,0.5,0.0,0.5,0.625,1.125,8.4375,High,17,17
rabbitmq:3.13-management-alpine,F,CVE-2026-28390,libssl3,3.5.4-r0,7.5,nvd,1.0,0.5,0.0,0.5,0.625,1.125,8.4375,High,18,18
rabbitmq:3.13-management-alpine,F,CVE-2025-69419,libcrypto3,3.5.4-r0,7.4,redhat,1.0,0.5,0.0,0.5,0.625,1.125,8.325,High,19,19
rabbitmq:3.13-management-alpine,F,CVE-2025-69419,libssl3,3.5.4-r0,7.4,redhat,1.0,0.5,0.0,0.5,0.625,1.125,8.325,High,20,20
rabbitmq:3.13-management-alpine,G,CVE-2025-15467,libcrypto3,3.5.4-r0,9.8,redhat,0.25,0.25,0.25,0.5,0.3125,0.8125,7.9625,High,1,1
rabbitmq:3.13-management-alpine,G,CVE-2026-31789,libcrypto3,3.5.4-r0,9.8,nvd,0.25,0.25,0.25,0.5,0.3125,0.8125,7.9625,High,2,2
rabbitmq:3.13-management-alpine,G,CVE-2025-15467,libssl3,3.5.4-r0,9.8,redhat,0.25,0.25,0.25,0.5,0.3125,0.8125,7.9625,High,3,3
rabbitmq:3.13-management-alpine,G,CVE-2026-31789,libssl3,3.5.4-r0,9.8,nvd,0.25,0.25,0.25,0.5,0.3125,0.8125,7.9625,High,4,4
rabbitmq:3.13-management-alpine,G,CVE-2026-28387,libcrypto3,3.5.4-r0,8.1,nvd,0.25,0.25,0.25,0.5,0.3125,0.8125,6.5812,Medium,5,5
rabbitmq:3.13-management-alpine,G,CVE-2026-28387,libssl3,3.5.4-r0,8.1,nvd,0.25,0.25,0.25,0.5,0.3125,0.8125,6.5812,Medium,6,6
rabbitmq:3.13-management-alpine,G,CVE-2026-25210,libexpat,2.7.3-r0,7.8,nvd,0.25,0.25,0.25,0.5,0.3125,0.8125,6.3375,Medium,7,7
rabbitmq:3.13-management-alpine,G,CVE-2026-40200,musl,1.2.5-r10,7.8,redhat,0.25,0.25,0.25,0.5,0.3125,0.8125,6.3375,Medium,8,8
rabbitmq:3.13-management-alpine,G,CVE-2026-40200,musl-utils,1.2.5-r10,7.8,redhat,0.25,0.25,0.25,0.5,0.3125,0.8125,6.3375,Medium,9,9
rabbitmq:3.13-management-alpine,G,CVE-2026-22184,zlib,1.3.1-r2,7.8,nvd,0.25,0.25,0.25,0.5,0.3125,0.8125,6.3375,Medium,10,10
rabbitmq:3.13-management-alpine,G,CVE-2025-69421,libcrypto3,3.5.4-r0,7.5,nvd,0.25,0.25,0.25,0.5,0.3125,0.8125,6.0938,Medium,11,11
rabbitmq:3.13-management-alpine,G,CVE-2026-28388,libcrypto3,3.5.4-r0,7.5,nvd,0.25,0.25,0.25,0.5,0.3125,0.8125,6.0938,Medium,12,12
rabbitmq:3.13-management-alpine,G,CVE-2026-28389,libcrypto3,3.5.4-r0,7.5,nvd,0.25,0.25,0.25,0.5,0.3125,0.8125,6.0938,Medium,13,13
rabbitmq:3.13-management-alpine,G,CVE-2026-28390,libcrypto3,3.5.4-r0,7.5,nvd,0.25,0.25,0.25,0.5,0.3125,0.8125,6.0938,Medium,14,14
rabbitmq:3.13-management-alpine,G,CVE-2025-69421,libssl3,3.5.4-r0,7.5,nvd,0.25,0.25,0.25,0.5,0.3125,0.8125,6.0938,Medium,15,15
rabbitmq:3.13-management-alpine,G,CVE-2026-28388,libssl3,3.5.4-r0,7.5,nvd,0.25,0.25,0.25,0.5,0.3125,0.8125,6.0938,Medium,16,16
rabbitmq:3.13-management-alpine,G,CVE-2026-28389,libssl3,3.5.4-r0,7.5,nvd,0.25,0.25,0.25,0.5,0.3125,0.8125,6.0938,Medium,17,17
rabbitmq:3.13-management-alpine,G,CVE-2026-28390,libssl3,3.5.4-r0,7.5,nvd,0.25,0.25,0.25,0.5,0.3125,0.8125,6.0938,Medium,18,18
rabbitmq:3.13-management-alpine,G,CVE-2025-69419,libcrypto3,3.5.4-r0,7.4,redhat,0.25,0.25,0.25,0.5,0.3125,0.8125,6.0125,Medium,19,19
rabbitmq:3.13-management-alpine,G,CVE-2025-69419,libssl3,3.5.4-r0,7.4,redhat,0.25,0.25,0.25,0.5,0.3125,0.8125,6.0125,Medium,20,20
rabbitmq:3.13-management-alpine,H,CVE-2025-15467,libcrypto3,3.5.4-r0,9.8,redhat,0.25,0.5,0.75,0.5,0.4375,0.9375,9.1875,Critical,1,1
rabbitmq:3.13-management-alpine,H,CVE-2026-31789,libcrypto3,3.5.4-r0,9.8,nvd,0.25,0.5,0.75,0.5,0.4375,0.9375,9.1875,Critical,2,2
rabbitmq:3.13-management-alpine,H,CVE-2025-15467,libssl3,3.5.4-r0,9.8,redhat,0.25,0.5,0.75,0.5,0.4375,0.9375,9.1875,Critical,3,3
rabbitmq:3.13-management-alpine,H,CVE-2026-31789,libssl3,3.5.4-r0,9.8,nvd,0.25,0.5,0.75,0.5,0.4375,0.9375,9.1875,Critical,4,4
rabbitmq:3.13-management-alpine,H,CVE-2026-28387,libcrypto3,3.5.4-r0,8.1,nvd,0.25,0.5,0.75,0.5,0.4375,0.9375,7.5938,High,5,5
rabbitmq:3.13-management-alpine,H,CVE-2026-28387,libssl3,3.5.4-r0,8.1,nvd,0.25,0.5,0.75,0.5,0.4375,0.9375,7.5938,High,6,6
rabbitmq:3.13-management-alpine,H,CVE-2026-25210,libexpat,2.7.3-r0,7.8,nvd,0.25,0.5,0.75,0.5,0.4375,0.9375,7.3125,High,7,7
rabbitmq:3.13-management-alpine,H,CVE-2026-40200,musl,1.2.5-r10,7.8,redhat,0.25,0.5,0.75,0.5,0.4375,0.9375,7.3125,High,8,8
rabbitmq:3.13-management-alpine,H,CVE-2026-40200,musl-utils,1.2.5-r10,7.8,redhat,0.25,0.5,0.75,0.5,0.4375,0.9375,7.3125,High,9,9
rabbitmq:3.13-management-alpine,H,CVE-2026-22184,zlib,1.3.1-r2,7.8,nvd,0.25,0.5,0.75,0.5,0.4375,0.9375,7.3125,High,10,10
rabbitmq:3.13-management-alpine,H,CVE-2025-69421,libcrypto3,3.5.4-r0,7.5,nvd,0.25,0.5,0.75,0.5,0.4375,0.9375,7.0312,High,11,11
rabbitmq:3.13-management-alpine,H,CVE-2026-28388,libcrypto3,3.5.4-r0,7.5,nvd,0.25,0.5,0.75,0.5,0.4375,0.9375,7.0312,High,12,12
rabbitmq:3.13-management-alpine,H,CVE-2026-28389,libcrypto3,3.5.4-r0,7.5,nvd,0.25,0.5,0.75,0.5,0.4375,0.9375,7.0312,High,13,13
rabbitmq:3.13-management-alpine,H,CVE-2026-28390,libcrypto3,3.5.4-r0,7.5,nvd,0.25,0.5,0.75,0.5,0.4375,0.9375,7.0312,High,14,14
rabbitmq:3.13-management-alpine,H,CVE-2025-69421,libssl3,3.5.4-r0,7.5,nvd,0.25,0.5,0.75,0.5,0.4375,0.9375,7.0312,High,15,15
rabbitmq:3.13-management-alpine,H,CVE-2026-28388,libssl3,3.5.4-r0,7.5,nvd,0.25,0.5,0.75,0.5,0.4375,0.9375,7.0312,High,16,16
rabbitmq:3.13-management-alpine,H,CVE-2026-28389,libssl3,3.5.4-r0,7.5,nvd,0.25,0.5,0.75,0.5,0.4375,0.9375,7.0312,High,17,17
rabbitmq:3.13-management-alpine,H,CVE-2026-28390,libssl3,3.5.4-r0,7.5,nvd,0.25,0.5,0.75,0.5,0.4375,0.9375,7.0312,High,18,18
